id,name,email,date,score,amount,category
1975,sam rodriguez,SAM.RODRIGUEZ@MAIL.COM,26/05/2024,99,$506.01,ONLINE
1976,Taylor Williams,TAYLOR WILLIAMS@SAMPLE ORG,2020/01/04,60,1950.41,Retail
1977,morgan davis,morgan.davis@example.com,23/11/2023,12,1896.15,E-Commerce
1978,  quinn taylor  ,..quinn.taylor..test.net,09-14-2020,8,"$1,604.22",ONLINE
1979,Jamie Martinez,jamie.martinez@test.net,10-02-2023,4459,"$1,753.33",Wholesale
1980,TAYLOR MARTINEZ,taylor.martinez@sample.org,15/06/2023,22,$528.98,E-Commerce
1981,  Lee Wilson  ,  lee wilson  @example com,05/11/2020,NA,214.18,E-Commerce
1982,JAMIE TAYLOR,JAMIE.TAYLOR@EXAMPLE.COM,2024-10-16,2512, 1741 ,e-comm
1983,  drew miller  ,..drew.miller..@example.com,11/11/2021,abc,1192.49,E-Commerce
1984,Casey Johnson,casey.johnsonmail.com,03-21-2023,50,"$1,142.19",Retail
1985,Morgan Anderson, morgan.anderson@sample.org ,,74,"$1,892.11",ONLINE
1986,CHRIS ANDERSON,chris.anderson@example.com,03-29-2020,89,715.77,wholesale
1987,Sam Taylor,,2023-03-06,82,$151.82,E-Commerce
1988,Drew Miller,drew.miller@example.com,2020-10-22,,656.49,e-comm
1989,,sam smith@mail com,04-18-2022,7, 1043 ,retail
1990,avery johnson, avery johnson@test net ,07-19-2021,92,"$1,931.16",retail
1991,taylor miller, taylor.miller@mail.com ,2021-07-04,91,1560.25, Retail 
1992,  Casey Johnson  ,..casey.johnson..@sample.org,2023-12-11,96, 1355 ,Wholesale
1993,robin smith,ROBIN.SMITH@MAIL.COM,2023/04/02,49,"$1,811.84",wholesale
1994,casey jones,casey.jones@example.com,04-24-2020,93,"$1,283.18",wholesale
1995,Jordan Davis,JORDAN.DAVIS@TEST.NET,01/10/2022,1301,1907.08,Retail
1996,Avery Johnson, avery.johnson@sample.org ,05-18-2022,17, 401 ,E-Commerce
1997,Drew Williams,drew.williams@mail.com,05-14-2021,42,"$1,033.81", retail 
1998,  Morgan Smith  , ..MORGAN.SMITH..EXAMPLE.COM ,05-18-2022,36,1286.18,Retail
1999,,..sam.smith..@sample.org,2022/08/26,85,"$1,297.69",Retail
2000,avery garcia,avery.garcia@example.com,06-15-2023,99,$372.11, Retail 
2001,Taylor Williams, taylor.williams@mail.com ,2024-04-13,14,"$1,953.92",Wholesale
2002,lee garcia, lee.garcia@sample.org ,2022/10/08,25,$647.32,wholesale
2003,Casey Miller,casey.miller@test.net,07-21-2024,44,"$1,040.72",e-comm
2004,robin jones, robin.jones@sample.org ,20/09/2021,abc,782.51,wholesale
2005,JORDAN RODRIGUEZ,jordan.rodriguez@mail.com,2022/05/05,47,$928.31,retail
2006,Chris Garcia,chris.garcia@sample.org,2021/12/04,3,1204.25,Wholesale
2007,alex johnson,ALEX.JOHNSON@EXAMPLE.COM,2020-12-25,70,$898.36,Retail
2008,Sam Garcia,sam.garcia@mail.com,04-04-2024,64,"$1,565.31", retail 
2009,chris miller,chris.miller@example.com,2023/06/29,21,$114.62,retail
2010,taylor smith,taylor.smith@example.com,,34,$257.58,wholesale
2011,  Jamie Wilson  ,,2021-01-16,59,"$1,206.58", E-Commerce 
2012,  parker brown  ,..parker.brown..@example.com,2020/04/02,71,1237.71,wholesale
2013,Jordan Garcia,jordan.garcia@test.net,2022-10-26,26,703.39,retail
2014,Casey Jones,casey.jones@mail.com,2023/06/02,35,1852.9,Wholesale
2015,lee wilson,LEE.WILSON@SAMPLE.ORG,2024-08-25,9,1930.49,e-comm
2016,morgan garcia,morgan.garcia@test.net,02-25-2021,,$479.14,retail
2017,Alex Jones,alex jones@example com,2021/10/17,23,$973.01, Retail 
2018,Sam Williams, sam.williams@sample.org ,02/10/2024,32,888.94, Wholesale 
2019,Drew Miller,DREW.MILLER@MAIL.COM,18/03/2021,65,"$1,628.22",wholesale
2020,  Chris Rodriguez  ,,,abc,"$1,997.54",retail
2021,  sam taylor  ,..sam.taylor..@test.net,10/03/2023,87,1448.96,wholesale
2022,,avery.taylor@mail.com,2020-12-22,44,214.11,Retail
2023,casey smith,casey.smith@test.net,24/08/2024,33,979.61,e-comm
2024,taylor miller,TAYLOR.MILLER@MAIL.COM,06-25-2022,85,1630.55, Wholesale 
2025,JORDAN BROWN,jordan.brown@example.com,24/10/2021,,"$1,919.41", e-comm 
2026,Jordan Wilson,jordan.wilson@sample.org,2021/03/21,65,"$1,811.90",Wholesale
2027,PARKER WILSON,parker.wilson@test.net,09/10/2020,4986,1419.94,Retail
2028,  Taylor Jones  ,..taylor.jones..@mail.com,12-21-2023,23,266.72,E-Commerce
2029,  Lee Smith  , ..LEE.SMITH..@TEST.NET ,18/01/2022,64,$474.12,Retail
2030,Avery Brown,avery.brown@example.com,2023-07-19,25,526.08,E-Commerce
2031,RILEY JONES,RILEY.JONES@MAIL.COM,09/01/2023,92, 1546 ,wholesale
2032,Jordan Taylor,jordan.taylor@test.net,24/05/2023,31,$680.73,wholesale
2033,chris johnson,CHRIS.JOHNSON@MAIL.COM,12/06/2024,63,$970.35,E-Commerce
2034,Quinn Taylor,quinn.taylor@test.net,2022/05/22,2535,$182.70, wholesale 
2035,,drew.martinez@test.net,2024-12-24,46,"$1,754.66",ONLINE
2036,AVERY JONES,avery.jones@test.net,2024-08-03,16,"$1,321.86",ONLINE
2037,jamie taylor,jamie.taylor@mail.com,03-18-2021,89,732.7,Wholesale
2038,ROBIN WILSON, robin.wilson@sample.org ,09/04/2022,59,"$1,930.32",E-Commerce
2039,Drew Miller,drew.miller@sample.org,2023/01/07,abc,1409.24,e-comm
2040,Jordan Jones,jordan.jones@example.com,2024-11-25,49,1820.01,Wholesale
2041,  Robin Anderson  ,..robin.anderson..@sample.org,24/07/2024,84,1142.83,e-comm
2042,  jordan wilson  , ..jordan.wilson..@mail.com ,2024-01-27,, 1029 , wholesale 
2043,alex johnson,alex.johnson@test.net,01-28-2022,24,60.69,ONLINE
2044,  CHRIS BROWN  ,..chris.brown..@sample.org,2023-03-14,25,"$1,120.51", retail 
2045,avery jones,avery.jones@mail.com,2022/09/20,24,1438.0,e-comm
2046,quinn williams, quinn williams@mail com ,07/06/2022,,"$1,058.53",e-comm
2047,Taylor Brown, taylor.brown@test.net ,09-16-2024,2264,"$1,565.76",ONLINE
2048,SAM ANDERSON,,04-19-2021,28,1269.18,Retail
2049,  Drew Davis  ,..drew.davis..example.com,26/03/2021,49,$643.32,E-Commerce
2050,lee wilson, lee.wilson@sample.org ,,88,1361.19,ONLINE
2051,  Quinn Anderson  ,..QUINN.ANDERSON..@MAIL.COM,2022/07/14,,506.03,wholesale
2052,  Morgan Martinez  ,..morgan.martinez..@mail.com,05-04-2023,45,$233.28, Wholesale 
2053,  Morgan Brown  ,..morgan.brown..@example.com,29/06/2023,36,$201.81,ONLINE
2054,chris miller,CHRIS.MILLER@SAMPLE.ORG,03-06-2023,38,1837.52,retail
2055,Drew Jones,drew.jones@sample.org,09-21-2023,0,1123.67,Retail
2056,jordan miller,jordan.miller@sample.org,2020/12/05,4392,"$1,236.57",e-comm
2057,ROBIN DAVIS,ROBIN.DAVIS@MAIL.COM,05/05/2022,80, 60 , retail 
2058,Avery Jones,avery.jones@mail.com,2024-01-12,59,1706.73, Retail 
2059,Avery Rodriguez,avery.rodriguez@mail.com,2023-06-01,44,1292.03,retail
2060,Alex Johnson, ALEX.JOHNSON@TEST.NET ,2023/05/28,3,"$1,222.27", E-Commerce 
2061,Robin Johnson,robin johnson@sample org,10-02-2022,86, 718 ,Retail
2062,Taylor Rodriguez, taylor.rodriguez@example.com ,2021-11-04,42,$245.99,retail
2063,Quinn Taylor,quinn taylor@test net,18/08/2020,,"$1,635.21",E-Commerce
2064,Riley Rodriguez,riley.rodriguez@test.net,2022-05-01,,$507.40,Retail
2065,JORDAN MARTINEZ,jordan.martinez@sample.org,2023-04-10,,1409.28,wholesale
2066,  Avery Anderson  ,..avery.anderson..@test.net,2020-08-19,90,$244.37,E-Commerce
2067,  TAYLOR JONES  , ..taylor.jones..@test.net ,2022/10/27,31,973.2,E-Commerce
2068,Taylor Williams,TAYLOR.WILLIAMS@MAIL.COM,2024-05-08,,"$1,607.23",ONLINE
2069,taylor rodriguez,TAYLOR.RODRIGUEZTEST.NET,31/08/2023,,991.38,Retail
2070,  riley anderson  ,..riley.anderson..@mail.com,22/10/2022,80,1714.06,Wholesale
2071,  Sam Smith  ,..sam.smith..@mail.com,2022/07/25,81,"$1,635.27",E-Commerce
2072,JORDAN JOHNSON,JORDAN.JOHNSONSAMPLE.ORG,09-20-2024,75,546.79,e-comm
2073,Casey Garcia,casey.garcia@example.com,2021-06-10,null,$206.28,ONLINE
2074,Riley Williams, riley.williams@test.net ,21/02/2023,10,"$1,118.42",retail
2075,casey rodriguez,casey.rodriguez@mail.com,01-11-2022,14,638.09,e-comm
2076,Taylor Brown,taylor.brown@example.com,08/12/2021,86,$862.05,wholesale
2077,MORGAN MILLER,morgan.miller@mail.com,23/01/2023,1603,1895.26,E-Commerce
2078,Avery Anderson,avery.anderson@example.com,07/07/2021,90, 574 , ONLINE 
2079,PARKER JONES,parker.jones@example.com,2021-07-07,2067,$374.56, E-Commerce 
2080,  Jordan Martinez  ,..JORDAN.MARTINEZ..@TEST.NET,2020/01/08,32, 482 , Wholesale 
2081,  Lee Davis  ,..lee.davis..@sample.org,27/07/2024,35,"$1,248.86",Retail
2082,MORGAN JOHNSON,morgan.johnson@sample.org,2020-04-25,47,1947.1, Wholesale 
2083,  riley johnson  ,..riley.johnson..@test.net,2021/05/04,34,904.8,e-comm
2084,  ALEX WILLIAMS  ,..ALEX.WILLIAMS..@MAIL.COM,10-01-2020,,1868.79,E-Commerce
2085,Robin Jones, ROBIN.JONES@MAIL.COM ,2021/07/30,null,$991.15,Retail
2086,CHRIS MILLER,chris.miller@sample.org,2021/06/07,1329,338.89,Retail
2087,  TAYLOR TAYLOR  ,..taylor.taylor..@example.com,10-28-2020,6,$462.68,E-Commerce
2088,  Parker Rodriguez  ,..PARKER.RODRIGUEZ..@EXAMPLE.COM,03/12/2021,,188.39,e-comm
2089,Robin Garcia,ROBIN.GARCIA@TEST.NET,05-08-2021,45,1291.56,ONLINE
2090,Avery Garcia, avery.garcia@mail.com ,04-23-2024,61,1032.69,e-comm
2091,chris taylor,CHRIS.TAYLOR@EXAMPLE.COM,2023/01/17,99,"$1,192.74",Retail
2092,CHRIS GARCIA,CHRIS.GARCIA@MAIL.COM,2020-08-04,93,"$1,922.88",wholesale
2093,alex miller,alex.miller@mail.com,05-13-2020,13,967.36,e-comm
2094,lee taylor,lee.taylorsample.org,31/08/2024,abc,$60.77,wholesale
2095,sam brown,sam.brown@mail.com,2022-04-27,51,1824.65, Retail 
2096,  Avery Taylor  ,..AVERY.TAYLOR..@EXAMPLE.COM,29/05/2024,63,$46.26,retail
2097,  Lee Smith  ,..lee.smith..@example.com,2024/02/12,NA,$15.36,Wholesale
2098,LEE JONES, LEE.JONES@TEST.NET ,11-06-2020,98,1940.03,e-comm
2099,Parker Williams, PARKER.WILLIAMS@TEST.NET ,18/07/2021,66,1586.57,ONLINE
2100,Alex Williams,alex.williams@mail.com,2021-04-10,36,$997.99,e-comm
2101,robin williams,robin.williams@test.net,07-27-2021,65,"$1,111.51",retail
2102,Lee Davis,lee.davis@test.net,2024/06/10,78,1814.32,e-comm
2103,Quinn Miller,quinn.miller@test.net,2021/05/17,21,"$1,494.03", E-Commerce 
2104,,parker.garcia@sample.org,04-26-2024,43,"$1,297.04", e-comm 
2105,  Drew Wilson  ,..drew.wilson..@mail.com,09-17-2021,49,1619.07,wholesale
2106,lee martinez, lee.martinez@mail.com ,17/02/2021,50,1224.92,Wholesale
2107,  PARKER RODRIGUEZ  , ..parker.rodriguez..@example.com ,,92, 679 ,retail
2108,PARKER TAYLOR,,2020-05-07,2715,$445.81,Wholesale
2109,chris martinez, CHRIS.MARTINEZ@MAIL.COM ,2022/03/17,82,$622.24,Retail
2110,JORDAN JONES,jordan.jones@test.net,2020/03/03,abc,"$1,777.78",retail
2111,Casey Anderson,casey.anderson@sample.org,2021/08/05,74,"$1,754.86",wholesale
2112,  Drew Wilson  , ..drew.wilson..@sample.org ,08-26-2023,14,"$1,185.14",Retail
2113,AVERY MARTINEZ,AVERY.MARTINEZ@TEST.NET,02/05/2023,72,486.27,Retail
2114,RILEY MARTINEZ,riley.martinez@mail.com,2021-03-22,39,"$1,440.19", Retail 
2115,MORGAN MARTINEZ, morgan.martinez@sample.org ,06-26-2020,28,"$1,772.38",Wholesale
2116,  robin rodriguez  ,..robin.rodriguez..@sample.org,08/05/2024,,$851.94,e-comm
2117,Jamie Davis,jamie.davis@sample.org,07-29-2020,17,1181.9, ONLINE 
2118,Avery Rodriguez, avery.rodriguez@sample.org ,07/08/2021,NA,$178.87,e-comm
2119,Jamie Smith, jamie.smith@mail.com ,11-03-2023,21,"$1,320.05",ONLINE
2120,lee rodriguez,lee.rodriguez@sample.org,16/11/2024,37,1630.67,e-comm
2121,  avery taylor  ,..avery.taylor..@test.net,30/03/2021,42,709.61,Wholesale
2122,avery davis,avery.davissample.org,2022-05-23,78,695.55,Wholesale
2123,ROBIN JONES,robin.jones@test.net,2023/04/09,8,"$1,374.36",wholesale
2124,  robin wilson  ,..robin.wilson..@example.com,2024-09-18,77,$829.56,E-Commerce
2125,Alex Rodriguez,ALEX.RODRIGUEZ@MAIL.COM,06-26-2020,28,219.17,E-Commerce
2126,Quinn Wilson,quinn.wilson@mail.com,2024/06/12,23,692.54,Wholesale
2127,  chris martinez  ,..chris.martinez..@example.com,,94,$394.47,E-Commerce
2128,Robin Rodriguez,robin.rodriguez@sample.org,08/01/2023,abc,439.25,Retail
2129,  Casey Smith  ,..casey.smith..@example.com,02-15-2022,53,839.16,e-comm
2130,jordan williams, jordan.williams@mail.com ,2022/01/24,93,1948.84,Wholesale
2131,  Robin Smith  ,..robin.smith..@test.net,2021-09-29,87,$409.93,Retail
2132,ROBIN JONES,robin.jones@mail.com,21/09/2022,734,426.27,Wholesale
2133,Jamie Taylor,jamie.taylor@test.net,2024/10/14,4111,"$1,402.64",Retail
2134,ROBIN WILSON,robin.wilson@mail.com,2021-12-26,1972,1896.77,Wholesale
2135,taylor smith, taylor smith@sample org ,10/10/2021,96,1470.0,Retail
2136,CHRIS SMITH, CHRIS.SMITH@TEST.NET ,07/07/2021,6,638.09,Wholesale
2137,Robin Brown,robin.brown@example.com,09-03-2020,4495,1255.73,E-Commerce
2138,TAYLOR SMITH, taylor.smith@example.com ,12-25-2020,4,"$1,434.20",retail
2139,Jordan Jones,jordan.jones@test.net,2024/04/04,84,"$1,455.73",retail
2140,drew jones,drew.jones@example.com,2024/02/08,10,$551.35,E-Commerce
2141,  ROBIN MILLER  ,..robin.miller..@example.com,2021/10/10,98,432.29,Wholesale
2142,  Morgan Anderson  ,..morgan.anderson..@test.net,2024/03/20,21,"$1,156.95",retail
2143,alex anderson,alex.anderson@example.com,11-28-2021,97,832.15,ONLINE
2144,morgan anderson,MORGAN.ANDERSON@TEST.NET,08-21-2022,4323,1064.94,Wholesale
2145,  CHRIS JONES  ,..chris.jones..@mail.com,02-09-2020,50,480.87,Retail
2146,jordan jones,jordan.jones@test.net,2022/06/16,1546, 1612 , Retail 
2147,CHRIS JONES,chris.jones@test.net,29/03/2024,25,$395.40,Wholesale
2148,jamie williams,JAMIE.WILLIAMS@TEST.NET,14/12/2021,4,1656.74,wholesale
2149,LEE RODRIGUEZ,LEE.RODRIGUEZTEST.NET,15/08/2021,null,$119.74,retail
2150,Sam Davis,sam.davis@test.net,2023/05/17,671,720.97,Wholesale
2151,SAM JONES,SAM.JONES@MAIL.COM,11-06-2020,63,703.62, wholesale 
2152,ALEX DAVIS,alex.davis@sample.org,2021/12/14,null,$73.87,wholesale
2153,PARKER TAYLOR,parker.taylor@test.net,11-25-2020,2864, 1382 ,ONLINE
2154,RILEY JONES,riley.jones@mail.com,2022-03-13,92,"$1,212.38", retail 
2155,  parker miller  ,..PARKER.MILLER..@MAIL.COM,2024-02-28,53,1967.32,e-comm
2156,Riley Brown,riley.brown@example.com,24/05/2020,4379,$687.37,Retail
2157,drew miller,drew.miller@mail.com,2021/12/29,16,1487.42,ONLINE
2158,sam davis,sam.davis@mail.com,2023-04-17,84,$873.53, Retail 
2159,  Parker Williams  ,  parker williams  @example com,2023/11/07,67,$554.41,Wholesale
2160,jamie wilson, JAMIE.WILSON@MAIL.COM ,10-26-2022,6,$383.62, Retail 
2161,Lee Davis,LEE.DAVIS@SAMPLE.ORG,2023/01/18,8,$377.56,E-Commerce
2162,riley davis, riley.davis@example.com ,08-21-2023,13,"$1,718.83",E-Commerce
2163,Chris Davis,chris.davis@example.com,10-12-2024,54,1077.96,Wholesale
2164,  Sam Williams  ,..SAM.WILLIAMS..@MAIL.COM,2024/04/19,15,913.86,Retail
2165,  Jordan Johnson  ,..JORDAN.JOHNSON..@TEST.NET,2021-01-28,2342,19.83,Retail
2166,Morgan Jones, morgan.jones@mail.com ,2022/01/16,4825, 788 ,e-comm
2167,  Robin Miller  ,..robin.miller..@example.com,2020-04-18,87,1378.11, wholesale 
2168,,casey.wilson@example.com,2024-05-30,52,1195.26, Wholesale 
2169,Chris Rodriguez,chris.rodriguez@sample.org,2021/03/26,55,"$1,243.34", wholesale 
2170,  PARKER RODRIGUEZ  ,..parker.rodriguez..@test.net,2023-08-16,39,324.54,e-comm
2171,  JORDAN MARTINEZ  ,..JORDAN.MARTINEZ..@TEST.NET,10/01/2020,24,915.2, Wholesale 
2172,Chris Johnson,chris.johnson@mail.com,09-26-2023,81,631.61,Retail
2173,Lee Martinez,lee.martinez@sample.org,2020/04/23,2668,$528.77,Retail
2174,TAYLOR JONES, taylor.jones@test.net ,2022-05-22,83,507.58,ONLINE
2175,Riley Davis,riley.davis@example.com,2021/12/19,66,"$1,449.05", ONLINE 
2176,SAM MARTINEZ,sam.martinez@example.com,10-21-2024,abc,"$1,715.67",Retail
2177,Alex Rodriguez,alex.rodriguez@example.com,2024/10/22,,1647.24,Retail
2177,Alex Rodriguez,alex.rodriguez@example.com,2024/10/22,,1647.24,Retail
2178,  Robin Smith  ,..robin.smith..@example.com,2021-03-08,48,1989.4,retail
2179,  Morgan Williams  ,..morgan.williams..@example.com,23/09/2024,null,$524.05,E-Commerce
2180,CASEY MILLER,casey.miller@test.net,2024-08-14,79,$316.89,Retail
2181,  JORDAN TAYLOR  ,..jordan.taylor..@mail.com,05/08/2023,1719,$858.90,retail
2182,Quinn Garcia,quinn.garcia@sample.org,25/02/2023,61,$974.85,ONLINE
2183,Parker Rodriguez,PARKER.RODRIGUEZ@TEST.NET,05-17-2022,10,$161.16,Retail
2184,  Robin Taylor  ,..robin.taylor..@sample.org,08-13-2021,72,"$1,425.77",Wholesale
2185,morgan smith,morgan.smith@mail.com,2021-12-21,36,842.85,Wholesale
2186,Avery Jones,AVERY.JONES@SAMPLE.ORG,2023-09-22,2,1780.86,ONLINE
2187,  Morgan Williams  ,..morgan.williams..@mail.com,2020/09/29,14, 642 , e-comm 
2188,Jamie Rodriguez, jamie.rodriguez@example.com ,2020/12/31,22,$789.52,E-Commerce
2189,AVERY BROWN,,2023-12-11,17,1976.07,e-comm
2190,ROBIN WILSON,robin.wilson@test.net,2022-02-03,63,1982.44,retail
2191,Lee Jones,LEE.JONES@SAMPLE.ORG,2020-06-19,46,991.41,Wholesale
2192,SAM SMITH,sam.smith@test.net,12-22-2024,null,$429.00,retail
2193,  Casey Anderson  ,..casey.anderson..@test.net,2021-02-15,63,$95.15,Retail
2194,Jamie Wilson,jamie.wilson@mail.com,07/06/2021,35,$338.30,ONLINE
2195,Alex Taylor,,2024-02-01,null,"$1,491.58",ONLINE
2196,Avery Williams, avery.williams@test.net ,04-23-2022,34, 1400 ,ONLINE
2197,  Jordan Garcia  ,..jordan.garcia..@mail.com,2024/07/06,80,1588.01, E-Commerce 
2198,Parker Davis, parker.davis@example.com ,2023/05/30,55,719.11,e-comm
2199,  Taylor Martinez  ,..taylor.martinez..test.net,18/08/2023,44,$364.24, Wholesale 
2200,Morgan Williams,morgan.williams@test.net,17/05/2020,12,1191.72,wholesale
2201,CASEY BROWN,casey.brown@mail.com,2023-03-10,48,395.99, Wholesale 
2202,drew jones,drew.jones@mail.com,08-28-2024,23,1193.2,e-comm
2203,robin brown, robin.brown@example.com ,06-06-2022,,"$1,477.47", ONLINE 
2204,alex johnson,alex.johnson@mail.com,2024-11-07,77,406.01,retail
2205,robin miller,robin.miller@test.net,2022/03/09,3465,"$1,193.74", retail 
2206,Jamie Anderson,JAMIE.ANDERSON@EXAMPLE.COM,2022/05/04,9,1207.81, ONLINE 
2207,Parker Brown,parker.brown@mail.com,11/01/2021,40,147.9,wholesale
2208,Taylor Anderson,taylor.anderson@example.com,2020/03/29,90,449.03,e-comm
2209,Morgan Smith,morgan.smith@sample.org,2024-08-08,80,"$1,905.11", retail 
2210,jamie wilson,jamie.wilson@mail.com,,84,318.88,Wholesale
2211,Parker Davis,parker.davis@sample.org,2022/11/08,3,$314.67, wholesale 
2212,  Robin Johnson  , ..robin.johnson..@mail.com ,2020-01-21,82,$243.68,Retail
2213,chris brown,chris.brown@example.com,2021-11-26,21,1652.43,e-comm
2214,jordan taylor,jordan.taylor@mail.com,,42,233.75, retail 
2215,CASEY JOHNSON,casey.johnson@mail.com,09-07-2020,4675,$424.62,E-Commerce
2216,Parker Jones,PARKER.JONES@TEST.NET,2023-06-23,7,1664.94,wholesale
2217,riley rodriguez, RILEY.RODRIGUEZ@EXAMPLE.COM ,03-06-2024,100,$797.44, wholesale 
2218,riley davis, RILEY.DAVIS@TEST.NET ,22/02/2023,4844,1114.21,e-comm
2219,Morgan Jones,MORGAN.JONES@SAMPLE.ORG,02-28-2024,4844, 66 ,Retail
2220,  Quinn Johnson  ,..quinn.johnson..@sample.org,12-26-2022,52, 1161 ,Retail
2221,riley smith, RILEY.SMITH@EXAMPLE.COM ,2024/05/08,0,"$1,859.96",e-comm
2222,taylor taylor,taylor.taylor@test.net,2024-09-02,73,283.68, ONLINE 
2223,JORDAN TAYLOR,jordan.taylor@test.net,,2712,"$1,904.50", e-comm 
2224,quinn rodriguez,quinn.rodriguez@example.com,25/03/2023,32,1845.71,ONLINE
2225,Taylor Davis,taylor.davis@sample.org,2022/05/09,14,"$1,645.25", Wholesale 
2226,Morgan Taylor, morgan.taylor@mail.com ,01-17-2024,10,1424.28, retail 
2227,Quinn Rodriguez,,24/10/2020,4363,"$1,082.67",E-Commerce
2228,  Morgan Smith  ,..morgan.smith..@test.net,2021-09-25,43,"$1,472.89",ONLINE
2229,LEE SMITH,LEE.SMITH@EXAMPLE.COM,2020-05-19,66, 537 ,retail
2230,Robin Garcia,robin.garcia@sample.org,03-14-2023,abc,"$1,247.45",ONLINE
2231,Casey Johnson,casey.johnson@test.net,2024/06/11,41,534.7,wholesale
2232,Drew Davis, drew.davis@example.com ,27/03/2023,35, 166 ,retail
2233,DREW ANDERSON,drew.andersonsample.org,2022/12/27,45,"$1,854.34",Wholesale
2234,Casey Miller,casey.miller@sample.org,2024-09-06,644,1731.23,wholesale
2235,drew garcia,drew.garcia@sample.org,05-07-2023,,"$1,430.93",e-comm
2236,ROBIN WILSON, ROBIN.WILSON@SAMPLE.ORG ,06-09-2021,98,480.29,Wholesale
2237,  Taylor Johnson  , ..TAYLOR.JOHNSON..@MAIL.COM ,2020-02-29,90,1483.18, retail 
2238,QUINN TAYLOR,quinn.taylor@test.net,2021/07/08,26,558.19, ONLINE 
2239,Sam Garcia,sam.garcia@test.net,06-18-2022,11,"$1,165.63",Wholesale
2240,riley johnson, riley.johnson@test.net ,2023/02/01,33,$140.58,Wholesale
2241,  Avery Johnson  ,..avery.johnson..@test.net,2021/01/01,53,1750.4,wholesale
2242,Riley Martinez, riley.martinez@test.net ,2024-08-12,52,"$1,064.89",ONLINE
2243,Morgan Anderson,morgan.anderson@test.net,2022/05/30,81,1677.05,Retail
2244,  Jordan Anderson  ,..jordan.anderson..@test.net,03-01-2022,94,1437.93,retail
2245,parker garcia,PARKER GARCIA@EXAMPLE COM,2022-11-28,null,888.47,ONLINE
2246,morgan wilson,morgan.wilson@example.com,03-10-2022,75,$24.81,wholesale
2247,Jamie Jones,jamie.jones@mail.com,2021/09/04,44,1955.01,Wholesale
2248,Chris Williams,chris.williams@sample.org,2023/02/07,97, 1816 ,e-comm
2249,  CASEY WILSON  , ..CASEY.WILSON..@EXAMPLE.COM ,2024-03-19,17,"$1,018.08",Wholesale
2250,MORGAN GARCIA,morgan.garcia@test.net,2024-03-17,92,$954.24,E-Commerce
2251,  Casey Davis  , ..casey.davis..@example.com ,04-20-2021,91,"$1,779.37",e-comm
2252,  Riley Wilson  ,,2024-12-05,3295,1884.41,e-comm
2253,RILEY GARCIA,riley.garcia@test.net,13/01/2024,91,604.39,e-comm
2254,  Chris Taylor  ,..CHRIS.TAYLOR..@EXAMPLE.COM,,35,"$1,059.00",retail
2255,  avery garcia  ,..avery.garcia..@test.net,25/05/2020,95,474.49,E-Commerce
2256,Drew Taylor,drew.taylor@example.com,2023-12-25,14,812.36,e-comm
2257,Taylor Johnson, TAYLOR.JOHNSONTEST.NET ,05/01/2023,3240, 475 ,wholesale
2258,  Casey Davis  ,..casey.davis..@example.com,01-06-2021,NA, 1539 ,Retail
2259,  Riley Garcia  ,..RILEY.GARCIA..@MAIL.COM,2021-12-14,43, 1646 ,Wholesale
2260,Casey Johnson,casey.johnson@sample.org,2021/09/05,,1865.08,wholesale
2261,ALEX ANDERSON,alex.anderson@sample.org,2020-07-18,22,$364.98,e-comm
2262,  Taylor Martinez  ,,2020/08/30,68,"$1,997.39",Retail
2263,Chris Williams,chris.williams@mail.com,2021-09-09,75,780.88,ONLINE
2264,  Riley Garcia  ,..riley.garcia..@mail.com,23/01/2024,85,$565.34,wholesale
2265,Riley Anderson,riley.anderson@sample.org,02-24-2024,8,1620.78,retail
2266,Riley Jones,,29/12/2022,82,630.53,wholesale
2267,,chris smith@example com,01/02/2023,61,$864.39,wholesale
2268,Casey Wilson,CASEY.WILSON@TEST.NET,,55,1803.25,Wholesale
2269,LEE MARTINEZ,LEE MARTINEZ@MAIL COM,2022-12-31,99,814.4,e-comm
2270,  casey rodriguez  ,..casey.rodriguez..@mail.com,2024/09/27,6, 1671 , wholesale 
2271,,,2020/05/15,33,"$1,255.12",ONLINE
2272,Quinn Martinez, QUINN.MARTINEZ@EXAMPLE.COM ,08/08/2024,,222.34,e-comm
2273,Robin Garcia,robin.garcia@example.com,2021/09/27,3358,1808.16,retail
2274,drew martinez,drew.martinez@example.com,31/01/2020,16,$754.87,wholesale
2275,Chris Davis,chris.davis@mail.com,2023-10-12,81,"$1,570.57",E-Commerce
2276,Riley Wilson,riley.wilson@mail.com,2020-02-02,93,"$1,051.33",e-comm
2277,  CASEY ANDERSON  ,..casey.anderson..@test.net,2020/04/16,null,$526.73,e-comm
2278,JORDAN BROWN,jordan.brown@test.net,2022-11-06,1581,1178.9,E-Commerce
2279,SAM MARTINEZ,sam.martinez@example.com,2020/01/21,83,"$1,483.06",ONLINE
2279,SAM MARTINEZ,sam.martinez@example.com,2020/01/21,83,"$1,483.06",ONLINE
2280,  Jamie Jones  ,..JAMIE.JONES..@TEST.NET,07-16-2023,32,750.45,Retail
2281,chris garcia,,31/12/2023,50,128.42,wholesale
2282,avery smith, AVERY.SMITH@EXAMPLE.COM ,2023/02/11,39,1736.75, ONLINE 
2283,riley miller,riley.miller@mail.com,2023-04-17,2771,"$1,493.27",e-comm
2284,casey rodriguez,casey.rodriguez@sample.org,2021-10-11,52,$798.25,E-Commerce
